sub,covid_emo_distress_1_1,covid_emo_distress_1_2,covid_emo_distress_1_3,covid_emo_distress_1_4,covid_emo_distress_1_5,covid_emo_distress_1_6,covid_emo_distress_1_7,covid_emo_distress_1_8,covid_emo_distress_2_1,covid_emo_distress_2_2,covid_emo_distress_2_3,covid_emo_distress_2_4,covid_emo_distress_2_5,covid_emo_distress_2_6,covid_emo_distress_2_7
666,81,56,74,88,38,8,0,0,62,69,42,78,61,0,0
667,100,49,50,100,80,90,100,100,75,80,60,80,55,25,50
669,81,29,60,80,70,80,30,49,72,73,41,72,71,51,70
670,100,19,51,90,94,0,0,0,100,100,100,100,100,38,29
671,90,9,75,90,64,96,100,100,87,75,79,72,66,18,40
672,75,42,62,95,44,63,82,78,68,42,60,59,38,29,23
673,70,81,82,90,57,92,95,94,60,61,43,63,63,75,23
674,100,24,38,100,100,100,100,100,100,97,29,79,98,8,73
676,22,58,43,60,31,7,61,64,64,60,45,59,60,47,26
677,24,73,18,100,63,82,41,74,63,56,32,57,59,57,65
678,32,55,41,40,87,18,25,53,99,62,62,65,66,50,79
679,1,100,78,0,1,0,0,0,0,0,0,0,0,100,0
680,90,40,70,90,100,61,90,75,40,69,50,70,30,50,20
681,100,10,95,100,100,27,51,90,91,97,83,100,99,8,97
682,23,3,34,31,60,0,0,0,69,69,65,64,62,75,68
683,93,14,88,100,74,90,68,82,94,92,80,90,98,22,35
684,70,70,81,90,81,65,65,85,51,51,40,51,51,0,20
685,70,55,39,66,68,76,36,68,74,58,57,61,67,46,61
686,0,50,50,70,0,0,0,0,10,0,0,30,0,0,0
687,55,75,65,75,80,51,0,60,80,51,0,55,89,45,55
688,70,86,15,61,0,76,0,0,100,61,13,59,67,59,0
689,4,96,4,88,25,0,0,8,0,0,0,0,0,15,0
692,100,0,100,100,100,100,100,100,100,99,100,100,100,0,81
693,88,90,78,93,86,96,92,98,78,36,34,74,77,96,74
694,100,15,90,100,100,10,75,100,50,80,15,100,100,10,5
695,50,80,50,95,80,5,100,100,10,25,5,20,50,70,10
696,80,20,100,100,100,0,0,0,80,85,87,89,80,38,0
697,100,0,100,100,100,100,50,0,100,100,100,100,100,0,100
698,61,39,63,63,64,57,65,65,71,60,60,61,76,6,22
700,70,40,60,75,75,30,50,80,30,60,60,60,55,40,15
701,70,62,48,83,56,75,0,17,65,32,29,27,16,63,10
702,90,19,90,100,90,75,0,0,90,90,60,90,91,40,0
703,0,97,0,1,0,1,0,1,59,0,0,0,81,98,2
704,21,100,10,70,0,0,0,0,30,20,0,10,10,51,1
705,16,95,10,29,0,5,22,23,74,9,0,8,80,72,95
706,30,90,5,51,0,0,0,0,81,10,0,5,20,50,0
707,75,0,50,90,80,90,0,100,30,70,40,50,30,0,0
709,97,93,67,94,94,12,5,6,38,2,2,54,4,10,2
710,70,80,70,100,15,2,60,70,80,50,0,60,60,90,80
711,100,30,60,100,100,40,0,100,79,80,0,69,70,0,0
712,80,50,70,50,81,0,80,50,71,51,21,51,51,51,20
713,89,53,89,88,89,89,85,84,43,70,77,77,45,24,31
714,54,48,5,9,4,85,0,51,10,43,1,1,14,32,1
715,28,88,73,94,57,3,0,73,33,40,33,21,27,79,0
716,79,26,87,95,84,65,80,82,80,75,71,84,80,30,75
718,100,40,71,100,65,66,30,31,100,100,60,100,100,33,66
719,41,79,70,89,84,1,0,1,57,45,29,55,39,22,3
720,15,83,21,63,55,77,6,7,32,9,10,9,23,68,10
721,61,41,59,87,55,3,64,64,45,63,42,67,40,58,21
722,100,20,100,100,100,35,0,60,100,90,90,97,100,37,51
723,71,35,64,89,58,34,24,99,5,24,3,73,18,28,8
724,90,30,22,59,61,63,49,47,65,63,23,65,68,24,59
725,83,6,11,96,95,100,36,64,80,91,76,95,93,9,27
726,69,91,0,0,57,100,0,0,60,28,19,61,0,100,0
727,71,10,75,100,61,38,65,55,77,86,73,82,71,12,68
728,27,97,9,100,10,10,3,6,12,17,0,39,18,92,2
729,99,3,92,99,88,63,42,69,100,99,84,98,99,2,82
730,83,55,44,88,62,65,11,70,73,72,22,76,77,89,71
731,60,70,50,80,40,30,70,60,40,50,50,51,60,70,30
732,56,58,24,81,27,31,75,93,25,29,26,26,80,27,55
733,100,0,78,100,100,10,32,93,100,100,57,100,100,10,92
734,79,16,55,84,76,84,19,59,24,58,59,60,28,34,20
735,55,20,10,15,5,5,10,65,65,50,30,40,70,80,95
736,70,40,40,100,20,10,30,25,75,70,40,50,80,60,20
737,65,90,75,100,40,25,40,40,85,85,50,90,90,17,30
739,11,82,5,13,5,9,1,10,51,8,0,5,43,96,20
740,100,96,93,91,81,79,93,67,80,95,92,75,68,85,99
741,91,5,93,95,95,79,71,94,91,98,81,97,99,0,96
742,30,70,20,60,40,30,0,0,81,55,30,45,70,20,0
743,100,51,32,100,65,0,0,70,90,71,73,74,75,3,0
744,100,0,60,100,80,70,70,90,100,100,90,100,100,0,90
745,0,100,0,90,0,60,0,0,10,0,0,0,0,80,0
746,91,57,89,93,87,90,90,89,90,96,88,92,91,34,80
747,94,0,91,95,91,65,52,72,94,95,94,95,98,20,100
748,100,5,83,100,84,61,100,100,95,95,85,83,100,24,100
749,0,100,0,20,0,0,0,50,75,0,0,0,75,0,0
751,30,65,78,97,0,0,0,0,60,55,3,58,56,24,64
752,95,30,84,92,67,9,64,88,81,68,3,100,85,35,17
753,61,15,34,64,47,64,92,90,65,43,39,47,58,15,19
754,40,60,40,65,25,15,25,60,35,30,30,30,36,50,5
755,25,75,25,100,25,0,0,0,50,0,0,25,25,50,0
756,82,31,0,100,4,0,0,76,14,0,56,100,22,33,70
757,80,17,54,77,48,73,15,24,34,74,45,74,37,24,62
758,48,60,60,82,40,0,50,50,20,33,32,26,8,53,50
759,91,63,58,100,80,100,24,82,70,75,75,74,82,16,6
760,75,15,94,92,94,24,9,86,85,80,64,65,16,67,6
761,78,56,63,92,77,5,19,100,90,90,75,90,80,51,80
762,100,0,100,100,100,0,100,100,100,100,100,100,100,51,100
763,84,8,71,97,94,18,21,44,78,91,91,91,82,9,81
764,88,15,15,90,21,86,21,19,81,79,23,76,91,5,15
765,84,71,70,70,68,66,68,73,70,68,66,62,64,60,66
766,39,62,22,49,36,19,22,20,35,39,16,51,39,15,24
767,10,90,5,90,0,0,0,10,10,0,0,0,29,60,0
768,26,71,27,60,29,1,23,42,30,22,9,14,21,40,8
769,5,95,20,100,50,0,0,0,10,5,0,70,5,0,0
770,100,13,76,78,100,5,5,5,61,100,72,74,61,43,13
771,70,86,88,91,23,55,0,37,39,35,39,36,36,50,50
772,100,21,93,99,59,8,10,30,95,52,98,78,96,100,74
773,18,81,5,97,0,0,100,100,5,33,0,57,0,87,7
774,81,26,68,81,96,90,0,16,93,96,67,81,77,20,64
775,100,0,100,100,100,100,0,100,75,76,84,84,62,0,76
776,56,83,31,80,53,5,0,0,10,15,13,22,16,13,0
777,83,33,77,85,82,33,27,38,72,90,68,71,78,36,57
778,81,18,37,84,51,1,2,64,41,66,66,66,66,14,0
779,66,78,15,21,57,8,84,93,37,16,12,6,13,84,17
780,87,14,75,70,100,39,24,44,51,52,54,58,53,47,23
781,24,87,76,100,100,0,100,100,0,0,0,0,0,0,1
782,100,25,90,100,95,40,90,95,95,100,90,100,90,10,90
783,40,71,51,71,9,9,8,20,30,40,2,40,21,51,10
784,75,25,70,90,60,0,0,100,10,50,30,75,30,20,0
785,100,0,100,100,100,100,100,100,61,85,75,80,85,0,70
786,99,6,55,100,99,82,0,67,100,100,100,100,100,10,86
787,83,31,70,80,100,35,0,0,75,97,82,76,23,18,59
788,51,51,17,85,0,100,0,100,97,56,2,2,1,98,0
789,20,81,90,100,10,5,70,97,70,59,51,72,58,98,9
790,75,20,69,80,90,45,40,60,80,75,65,70,75,32,65
791,72,22,4,99,61,65,2,60,57,70,22,63,78,65,55
792,76,16,75,90,88,24,61,78,78,88,61,80,55,34,68
793,100,0,100,100,100,0,0,80,100,100,90,100,100,20,0
794,41,56,13,76,34,54,0,6,60,39,34,57,62,12,60
795,82,21,65,78,69,17,51,61,59,58,57,61,72,24,51
796,90,20,90,100,30,50,0,0,80,70,100,100,100,30,20
797,100,8,100,100,100,78,7,9,100,92,94,100,100,7,87
798,92,36,72,92,82,87,26,64,72,72,65,74,51,31,51
799,96,55,96,99,97,96,6,74,93,96,96,93,97,10,87
800,30,74,20,95,71,16,0,55,10,20,10,46,13,58,12
801,90,30,70,100,60,75,100,95,90,75,30,80,90,35,90
802,60,49,20,85,42,76,66,81,58,41,37,41,73,39,60
803,82,48,70,84,73,91,0,66,76,69,46,72,79,29,0
804,86,36,77,96,92,91,73,56,37,60,55,87,58,67,29
805,70,55,60,90,10,0,0,10,30,30,0,28,6,40,0
806,70,35,61,81,62,30,18,8,30,31,13,13,26,33,59
807,19,84,0,91,73,0,0,0,10,0,0,0,0,51,0
808,100,0,100,100,100,100,100,100,61,100,29,66,79,0,0
809,30,100,30,70,50,10,0,0,7,0,0,0,5,0,0
810,100,0,65,100,100,22,0,86,100,99,69,99,100,0,70
811,29,68,67,67,58,67,23,21,28,26,24,25,15,36,26
812,10,92,10,31,10,0,0,2,51,21,0,1,5,89,1
813,85,92,65,80,60,70,48,47,65,74,40,70,75,58,32
814,99,41,91,97,99,98,19,90,98,99,95,100,98,21,25
815,100,60,75,78,100,68,90,90,70,70,55,76,69,38,68
816,25,72,60,60,20,1,8,78,8,7,8,8,10,7,5
818,56,81,53,100,13,13,54,100,56,56,19,57,42,64,58
819,100,0,84,100,93,58,0,86,71,90,62,96,79,1,58
820,90,80,100,100,90,0,0,0,80,70,31,90,100,80,0
822,20,90,45,80,0,0,15,20,90,0,0,0,50,50,70
823,14,93,53,53,7,10,65,89,11,12,0,8,2,36,22
824,80,48,55,100,48,49,51,51,100,88,93,100,52,67,18
825,55,45,35,65,60,80,45,80,60,60,30,55,55,55,52
826,77,51,79,80,68,70,2,84,64,66,66,67,67,12,66
827,100,50,60,85,100,0,100,100,100,50,50,80,100,40,100
828,62,89,82,100,13,0,0,96,62,31,30,58,59,39,0
829,80,51,20,90,100,60,0,50,90,75,50,80,80,50,50
830,61,52,75,85,98,3,7,60,70,56,4,70,57,35,26
831,87,36,57,64,55,45,61,40,58,39,59,47,56,42,65
832,20,88,61,81,100,0,0,0,64,77,10,100,69,60,13
833,50,20,40,51,70,35,90,90,60,55,20,55,40,24,63
834,54,83,2,6,2,33,1,11,41,26,2,6,1,98,1
835,8,96,7,8,7,97,7,6,5,7,6,9,6,98,7
836,70,100,60,90,30,60,0,19,60,20,0,80,80,20,0
837,100,51,100,100,100,88,0,16,31,72,31,92,30,93,0
838,55,50,55,75,15,0,0,0,55,60,0,60,60,50,0
839,100,30,100,100,85,25,0,80,60,60,49,100,40,51,25
840,21,91,72,81,32,31,0,23,70,30,31,30,31,68,13
841,59,66,73,73,5,4,2,4,34,61,31,63,65,56,4
842,30,80,50,80,50,5,90,50,40,40,40,40,50,40,30
843,18,87,16,33,19,9,6,16,8,12,11,7,6,80,7
844,0,84,0,50,0,0,0,0,100,18,0,50,100,0,50
845,20,85,10,10,10,5,0,10,5,5,0,10,5,75,0
846,100,0,100,100,100,72,50,50,100,100,100,100,100,0,100
847,10,92,10,80,10,50,0,10,50,0,0,10,50,70,10
848,63,63,86,0,62,0,100,100,90,62,53,66,63,6,56
849,100,39,100,100,100,41,31,20,82,89,70,79,86,33,20
850,80,30,80,100,80,20,0,0,70,70,30,70,60,40,0
851,60,41,60,81,61,3,0,0,30,40,34,39,14,69,0
852,30,95,5,10,0,0,0,90,4,20,0,80,4,8,0
853,91,8,76,100,50,85,0,5,71,50,23,75,91,90,0
854,100,0,60,77,72,100,100,100,90,100,91,91,100,12,100
855,82,14,91,87,70,60,1,3,84,84,84,87,96,10,2
856,21,83,47,56,29,75,0,12,36,12,6,12,18,28,0
857,100,0,100,100,90,70,0,0,100,100,75,100,100,80,0
858,72,8,79,86,2,57,2,98,71,73,8,97,97,1,66
859,71,71,71,81,30,30,0,0,71,32,24,50,75,10,20
860,95,43,63,89,64,36,44,70,72,61,39,63,64,35,70
861,30,85,80,90,10,0,0,100,20,30,21,30,30,50,0
862,90,15,75,0,50,10,0,0,100,60,10,75,100,25,0
863,71,52,70,69,59,3,3,4,51,58,55,55,55,25,19
864,22,76,36,54,10,38,0,0,31,31,13,14,34,14,0
865,90,41,6,83,0,0,0,0,81,19,0,8,0,90,0
866,100,51,95,100,75,72,0,43,52,61,68,80,59,0,39
867,10,80,0,90,50,0,0,15,51,10,0,50,5,51,0
868,61,41,59,69,39,72,72,79,41,55,38,57,39,70,34
869,91,21,91,91,91,21,21,51,92,91,81,94,94,51,40
870,50,100,50,70,20,0,0,0,70,49,0,20,51,87,0
871,60,40,30,80,75,35,60,65,75,60,25,60,75,40,30
872,100,0,71,100,100,100,100,100,100,100,100,100,100,0,100
873,78,25,71,100,35,31,60,60,43,38,38,60,58,38,39
874,61,91,50,75,50,0,0,50,60,20,0,40,61,100,11
875,3,90,2,16,2,1,20,21,21,6,0,6,3,87,2
876,32,63,37,1,9,0,0,10,14,12,35,58,29,40,0
877,85,50,30,85,95,40,75,90,60,70,55,75,85,30,20
878,21,78,29,77,15,18,0,96,34,15,16,13,25,10,0
879,84,42,56,53,36,76,2,64,61,78,38,67,71,37,1
880,1,95,2,3,2,2,2,2,1,1,2,2,2,96,1
881,91,51,73,76,80,4,0,85,92,83,23,82,97,20,0
882,36,59,41,70,63,65,14,65,19,29,24,25,35,65,21
883,29,17,16,76,30,12,13,16,82,93,39,32,66,66,51
884,71,43,72,72,73,0,0,0,72,72,62,73,73,0,0
886,80,30,100,100,60,40,100,100,50,90,60,100,40,0,0
887,5,96,8,18,5,5,0,53,2,2,0,2,0,39,0
888,96,20,96,81,96,0,0,90,60,85,15,100,57,10,0
889,51,61,39,59,37,56,3,14,5,51,52,65,15,51,9
890,37,39,13,61,23,29,99,98,22,38,30,29,66,72,93
891,40,59,35,59,51,34,8,7,41,29,29,51,36,43,9
892,34,83,23,61,14,58,5,82,71,17,5,30,67,83,3
893,22,69,39,77,0,26,11,84,84,31,24,72,58,87,10
894,27,83,51,80,55,22,17,48,13,31,8,51,16,69,9
895,27,81,9,9,0,0,0,9,54,27,0,27,0,0,0
896,64,69,33,93,56,3,0,0,68,65,22,100,69,100,22
897,36,66,18,85,9,62,77,81,62,73,5,10,73,87,5
898,100,10,60,100,65,23,0,74,80,92,79,97,75,39,13
900,85,62,87,86,51,2,44,59,79,69,51,91,76,26,51
902,100,0,100,100,100,100,0,0,81,100,100,100,100,0,0
903,87,33,68,67,68,18,12,12,63,64,57,72,72,21,24
904,30,73,8,29,24,15,0,0,6,5,2,4,14,61,8
905,80,20,70,80,90,95,100,95,100,74,34,83,87,5,50
906,82,22,51,68,87,69,45,45,91,68,39,70,86,33,94
908,0,100,0,0,0,0,0,50,0,0,0,0,0,100,0
909,19,85,11,44,51,77,36,14,57,31,0,31,62,89,27
910,99,49,79,80,91,0,0,100,83,83,30,100,100,5,1
911,72,17,80,79,80,72,73,73,60,71,63,75,66,33,40
912,51,51,51,83,25,70,62,63,41,51,51,56,34,68,9
913,65,33,59,77,76,31,21,15,44,48,32,36,47,61,20
914,21,66,15,32,60,9,0,0,66,19,9,16,38,56,3
915,88,14,30,100,25,100,0,0,70,50,51,52,51,90,0
916,70,30,30,70,90,0,90,90,30,65,0,75,75,70,25
917,91,6,97,98,91,96,62,97,94,88,95,96,98,4,94
918,90,50,50,91,51,51,51,99,60,60,60,60,60,27,67
919,70,60,54,55,65,79,32,33,81,67,33,64,64,46,60
921,58,30,51,96,27,70,90,65,38,40,35,36,14,52,0
922,100,0,100,100,78,90,71,100,80,100,62,82,78,70,61
923,80,60,90,100,100,10,50,100,100,90,40,90,65,10,100
924,40,70,10,70,20,20,0,0,30,60,10,30,20,51,0
925,44,45,36,88,65,64,75,57,70,67,35,68,68,21,22
926,10,91,11,92,0,0,0,0,21,9,21,4,16,5,2
927,74,18,25,100,35,26,24,73,12,17,4,16,16,63,34
928,40,92,73,93,61,37,3,0,41,31,0,51,40,73,0
929,68,22,37,86,27,73,11,29,89,83,70,95,85,74,60
930,80,41,68,81,70,61,49,63,62,72,57,64,71,60,72
931,53,65,76,83,70,73,43,75,63,64,71,65,73,56,74
932,61,40,21,100,55,89,100,90,55,40,40,41,38,55,34
933,70,60,80,95,75,70,0,0,60,40,0,60,0,60,0
934,83,29,86,100,77,8,66,76,86,77,35,76,81,26,20
935,70,30,70,100,100,65,0,60,100,90,70,95,100,40,70
936,29,81,43,71,35,23,0,65,41,40,40,37,37,79,10
937,2,100,2,2,2,3,3,1,2,1,2,2,2,97,1
938,100,85,100,100,80,0,100,100,100,100,52,100,60,100,52
939,96,7,77,88,79,72,73,58,85,85,90,90,88,52,65
940,20,70,60,80,56,5,0,0,10,20,5,10,30,59,0
941,85,30,85,100,90,0,100,100,75,70,20,50,50,85,50
942,100,8,100,100,85,65,0,10,100,100,51,100,100,6,9
943,61,71,19,20,63,17,0,90,15,60,0,36,36,21,0
944,26,79,31,31,14,61,0,0,65,31,5,26,25,91,3
945,78,30,100,100,99,100,51,57,81,66,53,77,77,33,51
946,10,89,5,9,2,1,0,0,5,11,1,17,12,55,0
947,10,81,11,76,0,0,0,4,10,0,0,30,0,25,0
948,80,11,62,100,90,5,5,84,39,79,38,82,74,11,78
949,90,20,67,82,10,100,45,46,90,97,77,87,92,31,29
950,81,86,88,85,96,15,0,0,51,28,24,84,85,79,0
951,40,78,87,76,70,0,0,76,78,64,5,77,86,21,10
952,70,35,45,65,90,90,15,65,70,30,5,75,90,100,70
953,75,36,71,24,63,1,77,16,38,35,35,59,30,68,28
954,95,13,100,100,100,100,100,100,19,96,95,95,96,8,95
955,56,66,74,73,72,72,51,43,51,42,23,60,56,36,38
956,70,40,80,51,20,20,0,80,60,51,51,52,60,60,0
957,100,30,100,100,73,51,0,82,92,100,100,100,100,2,90
958,100,55,90,88,51,1,97,100,82,80,69,79,72,83,5
959,79,46,55,89,69,77,90,87,65,81,60,89,85,35,68
960,10,86,8,9,1,1,0,3,82,16,9,7,39,71,58
961,84,73,92,88,65,29,21,21,7,9,12,23,5,67,8
962,70,81,30,51,29,7,5,5,72,40,10,48,45,80,10
963,65,32,83,52,47,60,0,99,68,54,55,60,63,30,45
964,55,55,40,57,22,25,30,33,30,30,29,30,61,73,28
965,58,5,53,86,70,65,0,0,71,71,80,68,68,12,2
966,87,73,64,78,20,57,57,62,70,57,37,62,55,44,57
967,100,5,55,100,100,0,0,100,100,100,55,100,75,8,55
968,82,40,60,97,76,33,13,24,23,61,9,59,72,35,57
969,0,100,0,70,0,0,0,0,0,0,0,0,0,55,0
970,65,90,72,82,43,33,46,66,30,58,31,61,68,53,37
971,27,66,37,58,15,0,0,98,80,8,17,37,29,37,0
972,100,0,100,100,100,100,49,51,100,100,100,100,100,0,64
973,11,92,65,86,7,6,12,15,15,8,10,17,5,68,0
974,90,60,80,81,62,32,64,35,40,57,60,59,60,46,40
975,77,5,0,100,60,100,0,69,100,100,97,100,100,53,100
976,28,63,29,60,54,56,50,55,24,17,10,12,11,51,10
977,23,85,34,65,55,0,8,11,25,11,11,18,13,72,6
978,30,30,60,95,71,72,0,54,37,36,16,64,23,11,0
979,85,14,72,83,81,94,69,74,80,62,58,71,15,21,33
980,70,60,78,90,89,79,54,54,66,69,46,57,22,72,10
981,92,88,93,92,93,17,85,88,88,95,90,89,88,8,74
982,90,10,30,70,100,83,0,0,100,100,95,100,100,50,100
983,20,50,50,51,51,15,20,10,10,20,10,10,10,51,40
984,30,60,51,70,70,5,30,30,55,45,20,35,60,50,20
985,2,98,3,85,0,0,0,0,2,0,0,0,4,97,0
986,0,100,0,100,56,0,0,10,5,11,6,11,7,46,43
987,0,100,0,80,60,100,0,13,0,0,0,0,60,100,0
988,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0
989,91,15,91,94,91,69,65,79,71,98,90,100,82,1,68
990,0,100,0,0,0,59,84,73,0,0,0,0,0,0,0
991,79,34,75,80,85,91,0,56,59,73,73,86,60,40,0
992,100,58,90,100,80,0,0,0,50,60,20,60,60,50,0
993,80,70,20,90,0,0,0,95,75,65,64,64,64,44,67
994,90,75,52,86,86,86,0,50,40,61,56,76,51,25,0
995,60,19,23,87,81,97,0,60,100,87,59,87,100,31,85
996,92,30,83,95,96,100,72,85,35,85,70,86,40,13,85
997,60,41,80,100,100,0,0,100,0,40,40,72,0,0,0
998,84,69,23,85,32,77,22,79,87,63,53,75,83,30,84
999,71,45,73,98,98,74,69,96,29,56,56,56,39,34,58
1000,100,0,100,100,100,100,0,0,100,100,100,100,100,0,0
